trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",35,3,-58.833624439715024,"{0: 25, 1: 2, 2: 3, 3: 1, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",35,23,3.947310588766971,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,15,6.365255939179727,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",35,5,-84.77488801494883,"{0: 23, 1: 2, 2: 1, 3: 3, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,0,-16.446216260134847,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,2,-71.26531063537139,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,11,-9.420533241737067,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",30,0,-73.77877913216257,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,0,-55.641182743764624,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,7,-30.723528791131812,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,13,13.935795729312954,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,1,9.419664515964165,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",25,0,-23.0567971423272,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,0,-6.250390162311798,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.418951549247639}",20,0,-19.725990732629604,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,0,-33.84729092155298,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,2,-16.577331042007387,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,12,-8.662990564502763,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
