trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
214,False,"{'a': 0.5, 'e': 0.11765484302177918}",25,0,-83.0835615705507,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
215,False,"{'a': 0.5, 'e': 0.11648415777349697}",25,0,-95.05565614223273,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
216,False,"{'a': 0.5, 'e': 0.11532512103806251}",20,0,-80.85598549567136,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
217,False,"{'a': 0.5, 'e': 0.1141776169108365}",20,0,-74.41272148634958,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
218,False,"{'a': 0.5, 'e': 0.11304153064044985}",35,0,-310.24801478834604,"{0: 15, 1: 3, 2: 11, 3: 2, 4: 4}",0
219,False,"{'a': 0.5, 'e': 0.11191674861732888}",25,0,-77.52911461857902,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
220,False,"{'a': 0.5, 'e': 0.11080315836233387}",20,0,-87.04374386035911,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
221,False,"{'a': 0.5, 'e': 0.10970064851551141}",30,0,-122.93591320541559,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
222,False,"{'a': 0.5, 'e': 0.10860910882495796}",20,1,-74.37495753776206,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
223,False,"{'a': 0.5, 'e': 0.10752843013579495}",20,0,-102.38201708761406,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
224,False,"{'a': 0.5, 'e': 0.1064585043792528}",30,0,-65.84667986336564,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.10539922456186433}",30,0,-244.29122468939167,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 4}",0
226,False,"{'a': 0.5, 'e': 0.104350484754765}",30,0,-213.93501804758438,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
227,False,"{'a': 0.5, 'e': 0.1033121800831002}",20,0,-29.289925523660298,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
228,False,"{'a': 0.5, 'e': 0.10228420671553744}",20,0,-108.61652109331196,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
229,False,"{'a': 0.5, 'e': 0.1012664618538834}",25,0,-130.83009850406953,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
230,False,"{'a': 0.5, 'e': 0.1002588437228037}",25,0,-98.11973217055976,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
231,False,"{'a': 0.5, 'e': 0.09926125155964566}",25,0,-102.80062678990213,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
232,False,"{'a': 0.5, 'e': 0.09827358560436154}",20,0,-100.65741068416811,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
233,False,"{'a': 0.5, 'e': 0.09729574708953276}",30,0,-190.97489980372032,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
234,False,"{'a': 0.5, 'e': 0.09632763823049303}",20,0,-51.64278865798376,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
235,False,"{'a': 0.5, 'e': 0.09536916221554961}",20,0,-122.63935808632498,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
236,False,"{'a': 0.5, 'e': 0.09442022319630235}",30,0,-316.33934004264256,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 7}",0
237,False,"{'a': 0.5, 'e': 0.09348072627805847}",25,0,-107.5531723835437,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
238,False,"{'a': 0.5, 'e': 0.09255057751034329}",25,0,-121.37015382836277,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
239,False,"{'a': 0.5, 'e': 0.09162968387750484}",20,0,-98.16570773099515,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
